Id,Individuo,i,x,f(x)
1,001101,13,3.4126984126984126,10.953221510660596
2,100001,33,4.0476190476190474,15.226801622491495
3,000111,7,3.2222222222222223,9.799116590011392
4,010111,23,3.7301587301587302,13.00886763073416
5,010001,17,3.5396825396825395,11.755792464816608
6,010010,18,3.571428571428571,11.960550634631987
7,000001,1,3.0317460317460316,8.70535319898338
8,000001,1,3.0317460317460316,8.70535319898338
9,001101,13,3.4126984126984126,10.953221510660596
10,000001,1,3.0317460317460316,8.70535319898338
11,100001,33,4.0476190476190474,15.226801622491495
12,000001,1,3.0317460317460316,8.70535319898338
13,000111,7,3.2222222222222223,9.799116590011392
14,100100,36,4.142857142857142,15.923330807852608
15,010001,17,3.5396825396825395,11.755792464816608
16,000001,1,3.0317460317460316,8.70535319898338
17,010011,19,3.6031746031746033,12.166948318562227
18,000000,0,3.0,8.528976393813505
19,001110,14,3.4444444444444446,11.151388331090484
