Id,Individuo,i,x,f(x)
1,100001,33,4.0476190476190474,15.226801622491495
2,010111,23,3.7301587301587302,13.00886763073416
3,010010,18,3.571428571428571,11.960550634631987
4,000001,1,3.0317460317460316,8.70535319898338
5,001101,13,3.4126984126984126,10.953221510660596
6,010001,17,3.5396825396825395,11.755792464816608
7,000111,7,3.2222222222222223,9.799116590011392
8,010001,17,3.5396825396825395,11.755792464816608
9,010010,18,3.571428571428571,11.960550634631987
10,000001,1,3.0317460317460316,8.70535319898338
