Id,Individuo,i,x,f(x)
1,001100,12,3.380952380952381,10.756710852691846
2,001101,13,3.4126984126984126,10.953221510660596
3,100001,33,4.0476190476190474,15.226801622491495
4,101101,45,4.428571428571429,18.09786159149943
5,111001,57,4.809523809523809,21.192092176536686
6,010010,18,3.571428571428571,11.960550634631987
7,110110,54,4.714285714285714,20.3979256436996
8,000001,1,3.0317460317460316,8.70535319898338
9,001101,13,3.4126984126984126,10.953221510660596
10,001100,12,3.380952380952381,10.756710852691846
11,000001,1,3.0317460317460316,8.70535319898338
12,101100,44,4.396825396825397,17.850003657129076
13,001101,13,3.4126984126984126,10.953221510660596
14,101100,44,4.396825396825397,17.850003657129076
15,001101,13,3.4126984126984126,10.953221510660596
16,111000,56,4.777777777777778,20.925855562921107
17,011100,28,3.888888888888889,14.097756531904919
18,010010,18,3.571428571428571,11.960550634631987
19,001110,14,3.4444444444444446,11.151388331090484
20,101100,44,4.396825396825397,17.850003657129076
21,000001,1,3.0317460317460316,8.70535319898338
22,001100,12,3.380952380952381,10.756710852691846
23,000001,1,3.0317460317460316,8.70535319898338
24,001101,13,3.4126984126984126,10.953221510660596
25,000001,1,3.0317460317460316,8.70535319898338
26,100001,33,4.0476190476190474,15.226801622491495
27,001101,13,3.4126984126984126,10.953221510660596
28,100111,39,4.238095238095238,16.63407696166561
29,001001,9,3.2857142857142856,10.177149163244945
30,110001,49,4.555555555555555,19.10475806558297
31,010010,18,3.571428571428571,11.960550634631987
32,001011,11,3.3492063492063493,10.561859687971479
33,010110,22,3.6984126984126986,12.795945171714962
34,100001,33,4.0476190476190474,15.226801622491495
