Id,Individuo,i,x,f(x)
1,000101,5,3.1587301587301586,9.427788627472337
2,100100,36,4.142857142857142,15.923330807852608
3,001101,13,3.4126984126984126,10.953221510660596
4,000111,7,3.2222222222222223,9.799116590011392
5,101111,47,4.492063492063492,18.59822351417378
6,100001,33,4.0476190476190474,15.226801622491495
7,010010,18,3.571428571428571,11.960550634631987
8,000001,1,3.0317460317460316,8.70535319898338
9,000100,4,3.126984126984127,9.244647207737513
10,110110,54,4.714285714285714,20.3979256436996
11,000101,5,3.1587301587301586,9.427788627472337
12,001101,13,3.4126984126984126,10.953221510660596
13,000111,7,3.2222222222222223,9.799116590011392
14,000101,5,3.1587301587301586,9.427788627472337
15,000101,5,3.1587301587301586,9.427788627472337
16,101111,47,4.492063492063492,18.59822351417378
17,001100,12,3.380952380952381,10.756710852691846
18,111001,57,4.809523809523809,21.192092176536686
19,010010,18,3.571428571428571,11.960550634631987
20,000111,7,3.2222222222222223,9.799116590011392
21,000001,1,3.0317460317460316,8.70535319898338
22,000101,5,3.1587301587301586,9.427788627472337
23,000100,4,3.126984126984127,9.244647207737513
24,100001,33,4.0476190476190474,15.226801622491495
25,000001,1,3.0317460317460316,8.70535319898338
26,101100,44,4.396825396825397,17.850003657129076
27,000111,7,3.2222222222222223,9.799116590011392
28,011101,29,3.9206349206349205,14.320366353224912
29,101101,45,4.428571428571429,18.09786159149943
30,101111,47,4.492063492063492,18.59822351417378
31,000001,1,3.0317460317460316,8.70535319898338
32,100001,33,4.0476190476190474,15.226801622491495
33,010010,18,3.571428571428571,11.960550634631987
34,000001,1,3.0317460317460316,8.70535319898338
